TAS          Heading      Beta         Ground_X     Ground_Y
[m/s]        [degrees]    [degrees]    [m/s]        [m/s]   
 90.00000000 126.00000000   1.00000000  81.87719590 -54.16335208
 90.00000000 127.00000000   1.00000000  80.92096782 -55.40953278
 90.00000000 128.00000000   1.00000000  79.94313653 -56.63883519
 90.00000000 129.00000000   1.00000000  78.94399988 -57.85088487
 90.00000000 130.00000000   1.00000000  77.92386222 -59.04531261
 90.00000000 131.00000000   1.00000000  76.88303429 -60.22175457
 90.00000000 132.00000000   1.00000000  75.82183315 -61.37985241
 90.00000000 133.00000000   1.00000000  74.74058203 -62.51925334
 90.00000000 134.00000000   1.00000000  73.63961031 -63.63961031
 90.00000000 135.00000000   1.00000000  72.51925334 -64.74058203
 90.00000000 136.00000000   1.00000000  71.37985241 -65.82183315
 90.00000000 137.00000000   1.00000000  70.22175457 -66.88303429
 90.00000000 138.00000000   1.00000000  69.04531261 -67.92386222
 90.00000000 139.00000000   1.00000000  67.85088487 -68.94399988
 90.00000000 140.00000000   1.00000000  66.63883519 -69.94313653
 90.00000000 141.00000000   1.00000000  65.40953278 -70.92096782
 90.00000000 142.00000000   1.00000000  64.16335208 -71.87719590
 90.00000000 143.00000000   1.00000000  62.90067271 -72.81152949
 90.00000000 144.00000000   1.00000000  61.62187927 -73.72368399
 90.00000000 145.00000000   1.00000000  60.32736131 -74.61338153
 90.00000000 146.00000000   1.00000000  59.01751315 -75.48035112
 90.00000000 147.00000000   1.00000000  57.69273378 -76.32432865
 90.00000000 148.00000000   1.00000000  56.35342674 -77.14505706
 90.00000000 149.00000000   1.00000000  55.00000000 -77.94228634
 90.00000000 150.00000000   1.00000000  53.63286582 -78.71577364
 90.00000000 151.00000000   1.00000000  52.25244065 -79.46528336
 90.00000000 152.00000000   1.00000000  50.85914498 -80.19058718
 90.00000000 153.00000000   1.00000000  49.45340321 -80.89146417
 90.00000000 154.00000000   1.00000000  48.03564356 -81.56770083
 90.00000000 155.00000000   1.00000000  46.60629788 -82.21909119
 90.00000000 156.00000000   1.00000000  45.16580156 -82.84543681
 90.00000000 157.00000000   1.00000000  43.71459341 -83.44654691
 90.00000000 158.00000000   1.00000000  42.25311546 -84.02223838
 90.00000000 159.00000000   1.00000000  40.78181290 -84.57233587
 90.00000000 160.00000000   1.00000000  39.30113390 -85.09667180
 90.00000000 161.00000000   1.00000000  37.81152949 -85.59508647
 90.00000000 162.00000000   1.00000000  36.31345343 -86.06742804
 90.00000000 163.00000000   1.00000000  34.80736202 -86.51355263
 90.00000000 164.00000000   1.00000000  33.29371406 -86.93332437
 90.00000000 165.00000000   1.00000000  31.77297060 -87.32661536
 90.00000000 166.00000000   1.00000000  30.24559489 -87.69330583
 90.00000000 167.00000000   1.00000000  28.71205217 -88.03328407
 90.00000000 168.00000000   1.00000000  27.17280958 -88.34644651
 90.00000000 169.00000000   1.00000000  25.62833599 -88.63269777
 90.00000000 170.00000000   1.00000000  24.07910185 -88.89195065
 90.00000000 171.00000000   1.00000000  22.52557909 -89.12412619
 90.00000000 172.00000000   1.00000000  20.96824091 -89.32915365
 90.00000000 173.00000000   1.00000000  19.40756169 -89.50697058
 90.00000000 174.00000000   1.00000000  17.84401685 -89.65752283
 90.00000000 175.00000000   1.00000000  16.27808264 -89.78076452
 90.00000000 176.00000000   1.00000000  14.71023606 -89.87665813
 90.00000000 177.00000000   1.00000000  13.14095470 -89.94517443
 90.00000000 178.00000000   1.00000000  11.57071658 -89.98629256
 90.00000000 179.00000000   1.00000000  10.00000000 -90.00000000
 90.00000000 180.00000000   1.00000000   8.42928342 -89.98629256
